probe,symbol,logFC,AveExpr,t,P.Value,adj.P.Val,direction
8169061,PLP1,1.8234333333333301,12.108783333333335,22.38508829606751,8.979404575238245e-08,1.885654486186489e-05,Up
8071420,SERPIND1,-1.817246666666669,7.035753333333335,-22.384588581791355,8.980790691442786e-08,1.885654486186489e-05,Down
8127201,COL21A1,2.216533333333332,7.335353333333334,22.37492314102334,9.007648951667721e-08,1.885654486186489e-05,Up
8048432,CYP27A1,1.4446066666666677,8.416269999999999,22.355814515030296,9.061018043362412e-08,1.885654486186489e-05,Up
7940349,CCDC86,-1.418896666666665,9.584618333333333,-22.3047027072283,9.205552170512217e-08,1.9038339790158094e-05,Down
8080511,CACNA1D,1.4874733333333328,8.30032,22.27826950098029,9.281331077551004e-08,1.9054055632291143e-05,Up
7908940,ATP2B4,1.3342,11.784833333333333,22.243854143531134,9.381062323210953e-08,1.9054055632291143e-05,Up
8112940,SSBP2,1.5377000000000018,11.589550000000001,22.24256395630592,9.384824830152109e-08,1.9054055632291143e-05,Up
8117395,,-1.4777300000000033,10.726735,-22.13612580482843,9.701239777732298e-08,1.9577101871463775e-05,Down
8111739,FYB1,2.329033333333334,6.957409999999999,22.027517232443557,1.003671806700374e-07,2.011489538640344e-05,Up
8117330,,-1.6335099999999998,9.464145,-22.003948126608822,1.0111256558051269e-07,2.011489538640344e-05,Down
8100758,,1.4867200000000007,8.431109999999999,21.984396287693045,1.0173569801311356e-07,2.011489538640344e-05,Up
7897227,AJAP1,-1.7412,8.660463333333334,-21.97025855786574,1.0218900866079383e-07,2.011489538640344e-05,Down
7969576,,-2.006163333333335,8.017075,-21.95447218009531,1.0269790718949409e-07,2.011489538640344e-05,Down
7901969,ROR1,-1.9295633333333337,8.509485,-21.90254436407643,1.0439239577758314e-07,2.0327214047989393e-05,Down
8057898,,1.5131033333333337,7.227305,21.767123646704384,1.0896353679861727e-07,2.0962228603164522e-05,Up
8149835,NEFL,1.2885133333333354,10.53501,21.73763112161124,1.099890936470454e-07,2.0962228603164522e-05,Up
8041179,CLIP4,1.8419133333333293,10.663343333333335,21.734775239090244,1.1008898605904069e-07,2.0962228603164522e-05,Up
7979085,PYGL,1.3007000000000002,11.529316666666666,21.73241022301014,1.1017178741489598e-07,2.0962228603164522e-05,Up
8040365,TRIB2,-1.7318400000000003,9.109676666666667,-21.491261454977952,1.1900010802201997e-07,2.25133329364159e-05,Down
7978846,POLE2,-2.2298366666666696,8.771551666666667,-21.454667911087267,1.2040910032317904e-07,2.253426187341161e-05,Down
8135218,LRRC17,1.5341733333333325,7.6833366666666665,21.45234989672451,1.2049899188303091e-07,2.253426187341161e-05,Up
8081001,ROBO2,1.7046399999999997,7.95442,21.435850955362753,1.211410299829017e-07,2.253426187341161e-05,Up
8102532,,2.7598833333333337,8.413825000000001,21.392224773924546,1.2285758375711047e-07,2.265435884766182e-05,Up
8126839,TNFRSF21,-1.5410599999999992,10.218403333333333,-21.373397391346604,1.2360694245629787e-07,2.265435884766182e-05,Down
